YM=F
ES=F
NQ=F
RTY=F
EMD=F
NKD=F
ZF=F
ZT=F
UB=F
ZN=F
ZB=F
10Y=F
6A=F
6B=F
6J=F
6C=F
6S=F
6E=F
ZS=F
ZL=F
ZC=F
ZW=F
ZM=F
RB=F
CL=F
NG=F
QM=F
QG=F
HO=F
GC=F
HG=F
SI=F
QI=F
QO=F
PL=F
PA=F
MYM=F
MES=F
MNQ=F
M2K=F
MGC=F
MCL=F
M6A=F
M6E=F
MBT=F
MET=F
